company_name,domain,year,program,location,industries,description,image_url,linkedin_url,twitter_url,crunchbase_url
Progress Innovation,,2010,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States",Fintech,User experience analytics,https://apimg.techstars.com/connect/images/image_files/53d6c06eaf05d7f506000007/original/usermojo2.png,https://linkedin.com/company/781984,https://twitter.com/usermojo,https://crunchbase.com/organization/usermojo
Nextly,,2010,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States",Technology media and telecommunications,Browse handpicked collections of webpages and curate your own,https://pbs.twimg.com/profile_images/378800000638938607/284e7e0926ed4727bd4e374f9be34929_bigger.jpeg,https://linkedin.com/company/nextlyteam,https://twitter.com/nextly,https://crunchbase.com/organization/nextly
Monkey Analytics,,2010,Techstars Boston Accelerator,"Scituate, Massachusetts, United States",Fintech,Scalable data mining in the cloud,https://apimg.techstars.com/connect/images/image_files/5359/5a50/cb58/5a41/8e00/0003/original/monkey_analytics.jpg,https://linkedin.com/company/monkey-analytics,,https://crunchbase.com/organization/monkey-analytics
Mogotest,,2010,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States",Fintech,Web consistency testing service,https://apimg.techstars.com/connect/images/image_files/5359/591f/a9f4/89dc/2400/0005/original/mogotest.jpg,https://linkedin.com/company/825100,https://twitter.com/mogotest,https://crunchbase.com/organization/mogotest
Loudcaster,,2010,Techstars Boston Accelerator,"Somerville, Massachusetts, United States","Adtech,Technology media and telecommunications",Enabling people to DJ online,https://apimg.techstars.com/connect/images/image_files/5362/8748/300d/8a61/7800/0001/original/Loudcaster.jpg,https://linkedin.com/company/loudcaster,https://twitter.com/loudcaster,https://crunchbase.com/organization/loudcaster
Zipline,https://flyzipline.com/,2011,Techstars Seattle Accelerator,"San Francisco, California, United States","Mobility tech,Robotics and Drones,Supply chain technology",Zipline operates the worlds largest autonomous on-demand delivery system,http://apimg.techstars.com/sf/accounts/logo/Logo_bb62f1035290ee6b0fa48b098.png,https://linkedin.com/company/flyzipline,https://twitter.com/zipline,https://crunchbase.com/organization/zipline-international
Remitly,https://remitly.com/,2011,Techstars Seattle Accelerator,"Seattle, Washington, United States","Fintech,Mobile",Mobile payments service for person-to-person international money transfers,https://apimg.techstars.com/connect/images/image_files/57b35f31bbe36f877200002e/original/icon_250x250_eafa15c2d7fcb1c4dd96f515b0cce26d.png,https://linkedin.com/company/remitly,https://twitter.com/remitly,https://crunchbase.com/organization/remitly
Outreach,https://outreach.io/,2011,Techstars Seattle Accelerator,"Seattle, Washington, United States","Artificial intelligence and machine learning,Marketing tech,Technology media and telecommunications",Sales engagement platform that accelerates revenue growth,http://apimg.techstars.com/sf/accounts/logo/Logo_9889e25b277214abaf34b3f94.png,https://linkedin.com/company/outreach-saas,https://twitter.com/outreach_io,https://crunchbase.com/organization/outreach
GINGER.IO,https://ginger.com/,2011,Techstars Boston Accelerator,"San Francisco, California, United States","Digital health,Healthtech,Mobile",Coaching therapy and psychiatry from the privacy of your smartphone,http://apimg.techstars.com/sf/accounts/logo/Logo_ce8f17c6295ddf11064c3a407.jpg,https://linkedin.com/company/carebyginger,https://twitter.com/carebyginger,https://crunchbase.com/organization/ginger-io
Funnel Leasing,https://funnelleasing.com/,2011,Techstars New York City Accelerator,"New York City, New York, United States","Marketing tech,Real estate tech,Technology media and telecommunications",Making it easier to find a place to live,https://apimg.techstars.com/connect/images/image_files/600f34a12553130008000098/original/funnel.jpg,https://linkedin.com/company/funnelleasing,https://twitter.com/FunnelLeasing,https://crunchbase.com/organization/nestio
Placester,https://placester.com/,2011,Techstars Boston Accelerator,"Boston, Massachusetts, United States","Marketing tech,Real estate tech",The simple all-in-one digital marketing platform for real estate professionals,http://apimg.techstars.com/sf/accounts/logo/Logo_c1597093c8730ef6d73a502ab.jpg,https://linkedin.com/company/placester-inc,https://twitter.com/placester,https://crunchbase.com/organization/placester
Fideo Intelligence,https://fideo.ai/,2011,Techstars Boulder Accelerator,"Denver, Colorado, United States",Big Data,Cloud based contact management,http://apimg.techstars.com/sf/accounts/logo/Logo_81e07b438f13a78a58106a8c9.jpeg,https://linkedin.com/company/fideointelligence,https://twitter.com/FullContact,https://crunchbase.com/organization/fullcontact
Help Scout,https://helpscout.com/,2011,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States","SaaS,Technology media and telecommunications",Help Scout makes customer support tools that keep customers happy as you grow,http://apimg.techstars.com/sf/accounts/logo/Logo_4f1de362365a38bc600d80b84.png,https://linkedin.com/company/1447019,https://twitter.com/helpscout,https://crunchbase.com/organization/help-scout
Simple Energy,https://simpleenergy.com/,2011,Techstars Boulder Accelerator,"Boulder, Colorado, United States","Cleantech,Fintech,Mobile",Changing how people save energy,https://apimg.techstars.com/connect/images/image_files/52e1/bc68/fc0a/52ae/7f00/0002/original/Plug-green.jpg,https://linkedin.com/company/bleedingbulbfoundation,https://twitter.com/simpleenergy,https://crunchbase.com/organization/simple-energy
CrowdTwist,https://crowdtwist.com/,2011,Techstars New York City Accelerator,"New York City, New York, United States","Artificial intelligence and machine learning,Big Data,Fintech,SaaS",Multi-channel customer relationship and loyalty platform,https://apimg.techstars.com/connect/images/image_files/56c1fbe8808320a7e4000010/original/CrowdTwist.jpg,https://linkedin.com/company/crowdtwist-inc-,https://twitter.com/OracleCX,https://crunchbase.com/organization/crowdtwist
GrabCAD,https://grabcad.com/,2011,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States","Fintech,SaaS",Online community network for mechanical engineers to share talent and collaborate,https://apimg.techstars.com/connect/images/image_files/5359/5ae9/a9f4/89a6/2900/0002/original/grabcad.jpg,https://linkedin.com/company/grabcad,https://twitter.com/GrabCAD,https://crunchbase.com/organization/grabcad
Memrise,https://memrise.com/,2011,Techstars Boston Accelerator,"London, United Kingdom",Edtech,Turns learning into a compulsive sport,https://apimg.techstars.com/connect/images/image_files/53d6d58bb5e11e08b500000c/original/memrise.png,https://linkedin.com/company/memrise,https://twitter.com/memrise,https://crunchbase.com/organization/memrise
EverTrue,https://evertrue.com/,2011,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States",Mobile,Non-profit social donor intelligence,https://apimg.techstars.com/connect/images/image_files/53d6c164af05d7f506000008/original/evertrue.png,https://linkedin.com/company/evertrue,https://twitter.com/evertrue,https://crunchbase.com/organization/evertrue
Timehop,https://timehop.com/,2011,Techstars New York City Accelerator,"New York City, New York, United States","E-commerce,Mobile",A time capsule of you,https://apimg.techstars.com/connect/images/image_files/53d6c962b5e11e08b5000009/original/timehop.jpeg,https://linkedin.com/company/timehop,https://twitter.com/timehop,https://crunchbase.com/organization/timehop
Smore,https://smore.com/,2011,Techstars Seattle Accelerator,"Tel Aviv, Israel",Adtech,Beautiful effective online flyers,https://apimg.techstars.com/connect/images/image_files/531e/fe25/9f1e/11bb/4600/0003/original/smorelogo.jpg,https://linkedin.com/company/smore,https://twitter.com/SmoreNewsletter,https://crunchbase.com/organization/smore
Kinvey,https://kinvey.com/,2011,Techstars Boston Accelerator,"Cambridge, Massachusetts, United States",Mobile,Cloud backend as a service,https://apimg.techstars.com/connect/images/image_files/5359/5b35/cb58/5a85/1900/0004/original/kinvey.jpg,https://linkedin.com/company/kinvey,https://twitter.com/kinvey,https://crunchbase.com/organization/kinvey
Promoboxx,https://promoboxx.com/,2011,Techstars Boston Accelerator,"Boston, Massachusetts, United States","Marketing tech,Technology media and telecommunications",Brand-to-retailer marketing platform,https://apimg.techstars.com/connect/images/image_files/53d6d568af05d79bc9000010/original/promoboxx.png,https://linkedin.com/company/promoboxx,https://twitter.com/Promoboxx,https://crunchbase.com/organization/promoboxx
